rank,name,url,age,height,roles,titles,aliases
287,Kristen Wiig,https://pro.imdb.com/name/nm1325419/graph?ref_=nm_mtr,44,5' 5",Actress|Soundtrack|Producer,Bridesmaids|The Skeleton Twins|The Secret Life of Walter Mitty,
288,Idris Elba,https://pro.imdb.com/name/nm0252961/graph?ref_=nm_mtr,45,6' 3",Actor|Producer|Writer,Beasts of No Nation|Star Trek: Beyond|Thor: Ragnarok,DJ Big Driis
289,Adrianne Palicki,https://pro.imdb.com/name/nm1597316/graph?ref_=nm_mtr,35,5' 11",Actress,G.I. Joe: Retaliation|John Wick|Legion,Annie Palicki|Annie
290,Molly Ringwald,https://pro.imdb.com/name/nm0000208/graph?ref_=nm_mtr,50,5' 8",Actress|Soundtrack|Music Department,Sixteen Candles|The Breakfast Club|Pretty in Pink,
291,Jim Carrey,https://pro.imdb.com/name/nm0000120/graph?ref_=nm_mtr,56,6' 2¼",Actor|Writer|Producer,Ace Ventura: Pet Detective|The Truman Show|Eternal Sunshine of the Spotless Mind,James Carrey|Tony Clifton
292,Holliday Grainger,https://pro.imdb.com/name/nm0334441/graph?ref_=nm_mtr,30,5' 1",Actress,Cinderella|My Cousin Rachel|The Finest Hours,Holly Grainger|Holliday Granger|Holly Granger
293,Alexander Skarsgård,https://pro.imdb.com/name/nm0002907/graph?ref_=nm_mtr,41,6' 4½",Actor|Producer|Director,True Blood|Straw Dogs|Melancholia,Alexander Skarsgard|Alex
294,Laura Haddock,https://pro.imdb.com/name/nm2652095/graph?ref_=nm_mtr,32,5' 8",Actress,Guardians of the Galaxy|Transformers: The Last Knight|Guardians of the Galaxy Vol. 2,
295,John Goodman,https://pro.imdb.com/name/nm0000422/graph?ref_=nm_mtr,65,6' 2",Actor|Soundtrack|Producer,10 Cloverfield Lane|Argo|Barton Fink,Karl Mundt
296,Jamie Dornan,https://pro.imdb.com/name/nm1946193/graph?ref_=nm_mtr,36,5' 11",Actor,Fifty Shades of Grey|The Fall|Anthropoid,Sons of Jim|Jamie
297,Ajiona Alexus,https://pro.imdb.com/name/nm4725344/graph?ref_=nm_mtr,,5' 6",Actress,13 Reasons Why|Acrimony|Breaking In,Ajiona Brown
298,Domhnall Gleeson,https://pro.imdb.com/name/nm1727304/graph?ref_=nm_mtr,35,6' 1",Actor|Writer|Soundtrack,Ex Machina|Frank|About Time,Donal Gleeson
299,Billy Magnussen,https://pro.imdb.com/name/nm2915105/graph?ref_=nm_mtr,33,5' 11",Actor|Soundtrack,Into the Woods|The Big Short|Game Night,William 'Billy' Magnussen
300,Ella Purnell,https://pro.imdb.com/name/nm3480246/graph?ref_=nm_mtr,21,5' 4",Actress,Miss Peregrine's Home for Peculiar Children|Never Let Me Go|Kick-Ass 2,Elena Purnell
301,Mark Wahlberg,https://pro.imdb.com/name/nm0000242/graph?ref_=nm_mtr,46,5' 8",Producer|Actor|Soundtrack,The Departed|The Fighter|Boogie Nights,Marky Mark|Marky Mark|Monk D
302,Molly Parker,https://pro.imdb.com/name/nm0662504/graph?ref_=nm_mtr,45,5' 5",Actress|Soundtrack|Producer,Kissed|Deadwood|The Wicker Man,
303,Musetta Vander,https://pro.imdb.com/name/nm0888727/graph?ref_=nm_mtr,,5' 8",Actress,Mortal Kombat: Annihilation|O Brother, Where Art Thou?|Wild Wild West,Musetta|Musetta van der Merwe
304,Chris Pine,https://pro.imdb.com/name/nm1517976/graph?ref_=nm_mtr,37,6' 0",Actor|Producer|Soundtrack,Star Trek|Star Trek: Beyond|Wonder Woman,Kris Pino|Peenè|Pinewood
305,Sydney Sweeney,https://pro.imdb.com/name/nm2858875/graph?ref_=nm_mtr,,5' 3½",Actress,Everything Sucks!|The Handmaid's Tale|Sharp Objects,
306,Adam Sandler,https://pro.imdb.com/name/nm0001191/graph?ref_=nm_mtr,51,5' 9¾",Actor|Producer|Writer,The Waterboy|The Wedding Singer|Big Daddy,Sandman
307,Justine Lupe,https://pro.imdb.com/name/nm4419771/graph?ref_=nm_mtr,,,Actress,Mr. Mercedes|Snowfall|Madam Secretary,
308,Keira Knightley,https://pro.imdb.com/name/nm0461136/graph?ref_=nm_mtr,33,5' 7",Actress|Soundtrack|Producer,Pirates of the Caribbean: The Curse of the Black Pearl|Pride &amp; Prejudice|Atonement,Kiera Knightley
309,Ryan Gosling,https://pro.imdb.com/name/nm0331516/graph?ref_=nm_mtr,37,6' 0½",Actor|Soundtrack|Producer,Blue Valentine|La La Land|The Nice Guys,
310,Diane Kruger,https://pro.imdb.com/name/nm1208167/graph?ref_=nm_mtr,41,5' 7",Actress|Producer,Inglourious Basterds|National Treasure|Unknown,Diane Heidkrüger|Diane Krüger
311,Ilfenesh Hadera,https://pro.imdb.com/name/nm3947644/graph?ref_=nm_mtr,,5' 11",Actress,Baywatch|Old Boy|Billions,
312,Hannah Arterton,https://pro.imdb.com/name/nm4687436/graph?ref_=nm_mtr,,5' 4",Actress|Soundtrack,Safe|The Five|Walking on Sunshine,
313,Sarah Chalke,https://pro.imdb.com/name/nm0149950/graph?ref_=nm_mtr,41,5' 8",Actress|Soundtrack|Producer,Scrubs|Chaos Theory|Roseanne,Sarah Chalk|Chalky
314,Rinko Kikuchi,https://pro.imdb.com/name/nm0452860/graph?ref_=nm_mtr,37,5' 7",Actress|Director|Writer,Babel|Pacific Rim|The Brothers Bloom,Yuriko Kikuchi
315,Lupita Nyong'o,https://pro.imdb.com/name/nm2143282/graph?ref_=nm_mtr,35,5' 5",Actress|Producer|Miscellaneous Crew,12 Years a Slave|Star Wars: Episode VII - The Force Awakens|Black Panther,Lupita Nyongo
316,Judy Greer,https://pro.imdb.com/name/nm0339460/graph?ref_=nm_mtr,42,5' 8¼",Actress|Producer|Soundtrack,13 Going on 30|Ant-Man|Jurassic World,Judy Evans Greer|Greer
317,Clint Howard,https://pro.imdb.com/name/nm0397212/graph?ref_=nm_mtr,59,5' 7",Actor|Soundtrack|Writer,Apollo 13|The Waterboy|Rock 'n' Roll High School,
318,Taron Egerton,https://pro.imdb.com/name/nm5473782/graph?ref_=nm_mtr,28,5' 9",Actor|Soundtrack,Kingsman: The Secret Service|Eddie the Eagle|Kingsman: The Golden Circle,
319,Adam Driver,https://pro.imdb.com/name/nm3485845/graph?ref_=nm_mtr,34,6' 2½",Actor|Soundtrack,Star Wars: Episode VII - The Force Awakens|Paterson|Inside Llewyn Davis,
320,Mackenzie Davis,https://pro.imdb.com/name/nm4496875/graph?ref_=nm_mtr,,5' 10",Actress|Producer|Soundtrack,Halt and Catch Fire|Black Mirror|Blade Runner 2049,Mackenzie Rio Davis
321,Ed Skrein,https://pro.imdb.com/name/nm4534098/graph?ref_=nm_mtr,35,6' 1",Actor|Director|Writer,Deadpool|Alita: Battle Angel|If Beale Street Could Talk,
322,Timothée Chalamet,https://pro.imdb.com/name/nm3154303/graph?ref_=nm_mtr,22,5' 11½",Actor,Call Me by Your Name|Lady Bird|Interstellar,Timothee Chalamet|Timothy Chalamet|Lil Timmy Tim
323,Teresa Palmer,https://pro.imdb.com/name/nm1954240/graph?ref_=nm_mtr,32,5' 4¾",Actress|Producer|Writer,I Am Number Four|Lights Out|Warm Bodies,Tez|Tezza
324,Monica Keena,https://pro.imdb.com/name/nm0444621/graph?ref_=nm_mtr,39,5' 1½",Actress|Miscellaneous Crew,Freddy vs. Jason|While You Were Sleeping|Crime + Punishment in Suburbia,Monica Kenna|Monikers
325,Colin Farrell,https://pro.imdb.com/name/nm0268199/graph?ref_=nm_mtr,42,5' 10",Actor|Soundtrack|Producer,The Lobster|In Bruges|S.W.A.T.,Colin Farrel|Colin J Farrell|Col Farrell
326,Michael Fassbender,https://pro.imdb.com/name/nm1055413/graph?ref_=nm_mtr,41,6' 0¼",Actor|Producer|Soundtrack,Shame|Prometheus|X-Men: First Class,Fassy
327,Lee Pace,https://pro.imdb.com/name/nm1195855/graph?ref_=nm_mtr,39,6' 5",Actor|Soundtrack,Guardians of the Galaxy|The Fall|The Good Shepherd,
328,Teri Polo,https://pro.imdb.com/name/nm0001632/graph?ref_=nm_mtr,49,5' 7",Actress,Meet the Parents|The Arrival|Meet the Fockers,
329,James Franco,https://pro.imdb.com/name/nm0290556/graph?ref_=nm_mtr,40,5' 11",Actor|Producer|Director,127 Hours|Spring Breakers|The Disaster Artist,James Edward Franco|Ted|Teddy
330,Sophie Turner,https://pro.imdb.com/name/nm3849842/graph?ref_=nm_mtr,22,5' 9",Actress|Producer,Game of Thrones|X-Men: Apocalypse|X-Men: Dark Phoenix,
331,Jenny Mollen,https://pro.imdb.com/name/nm1200748/graph?ref_=nm_mtr,,5' 6",Actress|Writer|Producer,Kidnapping Caitlynn|My Best Friend's Girl|Crazy, Stupid, Love.,Jenny Mollen Biggs|Jenny Molen
332,Jim Cummings,https://pro.imdb.com/name/nm0191906/graph?ref_=nm_mtr,65,5' 8",Actor|Soundtrack|Miscellaneous Crew,Winnie the Pooh|The Princess and the Frog|Shrek,Jim Jonah Cumkings|Jim Cumming|J. Jonah Cummings
333,Samara Weaving,https://pro.imdb.com/name/nm3034977/graph?ref_=nm_mtr,26,5' 5",Actress|Director|Writer,Three Billboards Outside Ebbing, Missouri|The Babysitter|Mayhem,
334,Keala Settle,https://pro.imdb.com/name/nm4745222/graph?ref_=nm_mtr,,5' 3",Actress|Soundtrack,The Greatest Showman|Ricki and the Flash|Hall American: Forbidden,Ti K.|Lala
335,Lauren German,https://pro.imdb.com/name/nm0314514/graph?ref_=nm_mtr,39,5' 7",Actress|Soundtrack,Hostel: Part II|The Divide|The Texas Chainsaw Massacre,
336,Ben Affleck,https://pro.imdb.com/name/nm0000255/graph?ref_=nm_mtr,45,6' 3¾",Producer|Actor|Writer,Argo|Gone Girl|The Town,Affleck
337,Jessica Parker Kennedy,https://pro.imdb.com/name/nm2498781/graph?ref_=nm_mtr,,5' 0½",Actress,In Time|50/50|Another Cinderella Story,Jessica P. Kennedy|Jessica Kennedy Parker
338,Rose Byrne,https://pro.imdb.com/name/nm0126284/graph?ref_=nm_mtr,38,5' 6¼",Actress|Soundtrack|Producer,Spy|Insidious|Bridesmaids,Rosie
339,Malin Akerman,https://pro.imdb.com/name/nm0015196/graph?ref_=nm_mtr,40,5' 8",Actress|Producer|Soundtrack,Watchmen|The Final Girls|Happythankyoumoreplease,Malin|Malin Åkerman
340,Jenna Fischer,https://pro.imdb.com/name/nm0278979/graph?ref_=nm_mtr,44,5' 6",Actress|Producer|Soundtrack,The Office|The Giant Mechanical Man|Walk Hard: The Dewey Cox Story,Jenna Fisher
341,Lena Headey,https://pro.imdb.com/name/nm0372176/graph?ref_=nm_mtr,44,5' 5½",Actress|Producer|Soundtrack,Game of Thrones|300|Pride and Prejudice and Zombies,Lena Heady
342,Elizabeth Banks,https://pro.imdb.com/name/nm0006969/graph?ref_=nm_mtr,44,5' 4¾",Actress|Producer|Director,The Hunger Games|The Hunger Games: Mockingjay - Part 1|The Hunger Games: Catching Fire,Elizabeth Casey|Elizabeth Maresal Mitchell
343,Matthew McConaughey,https://pro.imdb.com/name/nm0000190/graph?ref_=nm_mtr,48,6' 0",Actor|Producer|Soundtrack,Dallas Buyers Club|Magic Mike|Mud,M. McConaughey
344,Paul Rudd,https://pro.imdb.com/name/nm0748620/graph?ref_=nm_mtr,49,5' 10",Actor|Writer|Producer,Ant-Man|I Love You, Man|The Perks of Being a Wallflower,Kenny Chin|Paul S. Rudd|Paul Stephen Rudd
345,Kate Mara,https://pro.imdb.com/name/nm0544718/graph?ref_=nm_mtr,35,5' 2",Actress|Soundtrack|Producer,Fantastic Four|Happythankyoumoreplease|Shooter,
346,Ingrid Bolsø Berdal,https://pro.imdb.com/name/nm2070336/graph?ref_=nm_mtr,38,5' 8¾",Actress|Producer|Soundtrack,Hercules|Cold Prey|Chernobyl Diaries,
347,Sam Witwer,https://pro.imdb.com/name/nm1022429/graph?ref_=nm_mtr,,6' 1",Actor|Miscellaneous Crew|Stunts,The Mist|Star Wars: The Force Unleashed|Star Wars: The Clone Wars,Simon Judas Raye|Stewart
348,William Zabka,https://pro.imdb.com/name/nm0951420/graph?ref_=nm_mtr,52,6' 0½",Actor|Producer|Writer,The Karate Kid|Hot Tub Time Machine|The Karate Kid Part II,Billy Zabka|Billy
349,Robert De Niro,https://pro.imdb.com/name/nm0000134/graph?ref_=nm_mtr,74,5' 9¾",Actor|Producer|Soundtrack,Raging Bull|Cape Fear|Taxi Driver,Robert De Niro Jr.|Robâto De Nîro|Bobby DeNiro
350,Morgan Freeman,https://pro.imdb.com/name/nm0000151/graph?ref_=nm_mtr,81,6' 2",Actor|Producer|Soundtrack,Se7en|Invictus|Driving Miss Daisy,Morgan J. Freeman
351,Ashley Johnson,https://pro.imdb.com/name/nm0424534/graph?ref_=nm_mtr,,5' 5",Actress|Soundtrack,The Avengers|Blindspot|The Last of Us,Dasher
352,Ellen Barkin,https://pro.imdb.com/name/nm0000289/graph?ref_=nm_mtr,64,5' 6",Actress|Producer,The Fan|Sea of Love|This Boy's Life,
353,Shia LaBeouf,https://pro.imdb.com/name/nm0479471/graph?ref_=nm_mtr,31,5' 9½",Actor|Director|Producer,Transformers|American Honey|Fury,Shia La Beouf|Shea LaBeouf|Shia LaBuff
354,Stanley Kubrick,https://pro.imdb.com/name/nm0000040/graph?ref_=nm_mtr,,5' 6½",Director|Writer|Producer,2001: A Space Odyssey|A Clockwork Orange|Barry Lyndon,Stanley Kubric|SK
355,Michelle Trachtenberg,https://pro.imdb.com/name/nm0005502/graph?ref_=nm_mtr,32,5' 7½",Actress|Producer|Soundtrack,Buffy the Vampire Slayer|Inspector Gadget|17 Again,
356,Jon Hamm,https://pro.imdb.com/name/nm0358316/graph?ref_=nm_mtr,47,6' 2",Actor|Producer|Soundtrack,Mad Men|The Town|Million Dollar Arm,John Hamm
357,Gina Carano,https://pro.imdb.com/name/nm2442289/graph?ref_=nm_mtr,,5' 8",Actress|Producer,Haywire|Fast &amp; Furious 6|Deadpool,Crush|Conviction|Crush
358,Anthony Hopkins,https://pro.imdb.com/name/nm0000164/graph?ref_=nm_mtr,80,5' 8½",Actor|Soundtrack|Composer,The Silence of the Lambs|Hannibal|Hitchcock,Fabian Hogarth|Sir Anthony Hopkins|Tony
359,Emma Watson,https://pro.imdb.com/name/nm0914612/graph?ref_=nm_mtr,28,5' 5",Actress|Soundtrack|Producer,The Perks of Being a Wallflower|Harry Potter and the Sorcerer's Stone|The Bling Ring,Em
360,Kate Beckinsale,https://pro.imdb.com/name/nm0000295/graph?ref_=nm_mtr,44,5' 7",Actress|Soundtrack,Underworld: Evolution|Pearl Harbor|Underworld,Kathrin Beckinsale
361,Kylie Minogue,https://pro.imdb.com/name/nm0001541/graph?ref_=nm_mtr,50,5' 0",Actress|Soundtrack|Composer,Moulin Rouge!|Street Fighter|San Andreas,Kylie|The Princess of Pop
362,Isabela Moner,https://pro.imdb.com/name/nm5097044/graph?ref_=nm_mtr,,5' 1",Actress|Music Department|Soundtrack,Transformers: The Last Knight|100 Things to Do Before High School|Growing Up Fisher,
363,Madelaine Petsch,https://pro.imdb.com/name/nm6663708/graph?ref_=nm_mtr,,5' 5¾",Actress|Soundtrack,Riverdale,
364,Benicio Del Toro,https://pro.imdb.com/name/nm0001125/graph?ref_=nm_mtr,51,6' 2",Actor|Producer|Director,Sicario|Traffic|The Usual Suspects,Benisio Del Toro|Benicio Deltoro|Benicio del Toro
365,Hiroyuki Sanada,https://pro.imdb.com/name/nm0760796/graph?ref_=nm_mtr,57,5' 6",Actor|Music Department|Composer,The Twilight Samurai|The Wolverine|Sunshine,Duke Sanada|Harry Sanada|Henry Sanada
366,Mackenzie Foy,https://pro.imdb.com/name/nm3237775/graph?ref_=nm_mtr,,5' 2½",Actress|Soundtrack,Interstellar|The Twilight Saga: Breaking Dawn - Part 2|The Little Prince,Kenzie|Kenz
367,Arnold Schwarzenegger,https://pro.imdb.com/name/nm0000216/graph?ref_=nm_mtr,70,6' 2",Actor|Producer|Director,Terminator 2|True Lies|Predator,Arnold Strong 'Mr. Universe'|Arnold|Gov Arnold Schwarzenegger
368,Bella Thorne,https://pro.imdb.com/name/nm2254074/graph?ref_=nm_mtr,20,5' 8",Actress|Soundtrack|Producer,The DUFF|Blended|Scream: The TV Series,
369,Jewel Staite,https://pro.imdb.com/name/nm0821612/graph?ref_=nm_mtr,,5' 6",Actress|Soundtrack|Producer,Firefly|Serenity|Blindspot,Jewel Straite
370,Rose McGowan,https://pro.imdb.com/name/nm0000535/graph?ref_=nm_mtr,44,5' 4",Actress|Soundtrack|Producer,Planet Terror|Grindhouse|Charmed,Rose McGowen
371,Christopher Lee,https://pro.imdb.com/name/nm0000489/graph?ref_=nm_mtr,,6' 5",Actor|Soundtrack|Producer,Star Wars: Episode II - Attack of the Clones|The Lord of the Rings: The Two Towers|The Lord of the Rings: The Fellowship of the Ring,Chris Lee|Cristopher Lee|Sir Christopher Lee
372,Lindsey Morgan,https://pro.imdb.com/name/nm4289392/graph?ref_=nm_mtr,28,5' 5",Actress,General Hospital|The 100|Beyond Skyline,Lindsey Marie Morgan
373,Jeffrey Dean Morgan,https://pro.imdb.com/name/nm0604742/graph?ref_=nm_mtr,52,6' 2",Actor|Soundtrack|Producer,Watchmen|The Losers|Red Dawn,Jeff Morgan|Jeff|McNaughty
374,Ralph Macchio,https://pro.imdb.com/name/nm0001494/graph?ref_=nm_mtr,56,5' 8½",Actor|Producer|Director,The Karate Kid|The Karate Kid Part III|The Outsiders,
375,Jane Fonda,https://pro.imdb.com/name/nm0000404/graph?ref_=nm_mtr,80,5' 8",Actress|Producer|Soundtrack,Klute|Barbarella|Youth,Hanoi Jane|J.Fo
376,Alicia Goranson,https://pro.imdb.com/name/nm0329773/graph?ref_=nm_mtr,43,5' 5",Actress|Soundtrack,Boys Don't Cry|Roseanne|Fringe,Lecy Goranson|Lecy
377,Pam Grier,https://pro.imdb.com/name/nm0000427/graph?ref_=nm_mtr,69,5' 8",Actress|Soundtrack|Writer,Jackie Brown|Escape from L.A.|Ghosts of Mars,Pam Greer|Pamela Grier
378,Alessandra Torresani,https://pro.imdb.com/name/nm0003779/graph?ref_=nm_mtr,,5' 3½",Actress|Producer,The Big Bang Theory|American Horror Story|Caprica,Alessandra Toreson
379,Mark Hamill,https://pro.imdb.com/name/nm0000434/graph?ref_=nm_mtr,66,5' 9",Actor|Producer|Soundtrack,Star Wars: Episode IV - A New Hope|Star Wars: Episode V - The Empire Strikes Back|Star Wars: Episode VI - Return of the Jedi,?|Mark Hamil|Mark
380,Tom Ellis,https://pro.imdb.com/name/nm0255124/graph?ref_=nm_mtr,39,6' 3",Actor|Soundtrack,Lucifer|Miranda|Buffalo Soldiers,
381,Daniel Radcliffe,https://pro.imdb.com/name/nm0705356/graph?ref_=nm_mtr,28,5' 5",Actor|Producer|Soundtrack,Harry Potter and the Deathly Hallows: Part 2|Swiss Army Man|Harry Potter and the Deathly Hallows: Part 1,Daniel Jacob Radcliffe|Dan Radcliffe|Daniel Ratfink
382,Olivia Wilde,https://pro.imdb.com/name/nm1312575/graph?ref_=nm_mtr,34,5' 7",Actress|Producer|Director,TRON: Legacy|The Incredible Burt Wonderstone|The Lazarus Effect,
383,Rachel Weisz,https://pro.imdb.com/name/nm0001838/graph?ref_=nm_mtr,48,5' 6",Actress|Producer|Soundtrack,The Constant Gardener|The Lobster|The Mummy Returns,Kenya Campbell|Rachael Weisz
384,Steve Carell,https://pro.imdb.com/name/nm0136797/graph?ref_=nm_mtr,55,5' 9",Actor|Producer|Writer,The Office|The 40-Year-Old Virgin|Foxcatcher,Steven Carel|Steve Carel|Steven Carell
385,Brendan Fraser,https://pro.imdb.com/name/nm0000409/graph?ref_=nm_mtr,49,6' 3",Actor|Producer|Soundtrack,The Mummy|Crash|The Mummy Returns,Brendon Fraser
386,Allison Mack,https://pro.imdb.com/name/nm0532928/graph?ref_=nm_mtr,35,5' 5",Actress|Producer|Director,Smallville|The Ant Bully|Honey, We Shrunk Ourselves!,
387,Jeremy Renner,https://pro.imdb.com/name/nm0719637/graph?ref_=nm_mtr,47,5' 9",Actor|Producer|Soundtrack,The Hurt Locker|The Town|The Avengers,Renni
388,Cara Gee,https://pro.imdb.com/name/nm4446254/graph?ref_=nm_mtr,,,Actress,Empire of Dirt|The Expanse|The Carmilla Movie,
389,Toby Stephens,https://pro.imdb.com/name/nm0827170/graph?ref_=nm_mtr,49,5' 11",Actor|Miscellaneous Crew|Director,Die Another Day|The Machine|13 Hours,
390,Jake Johnson,https://pro.imdb.com/name/nm2159926/graph?ref_=nm_mtr,40,5' 9½",Actor|Producer|Writer,New Girl|Jurassic World|Safety Not Guaranteed,Jake M. Johnson
391,Emily Bett Rickards,https://pro.imdb.com/name/nm4703025/graph?ref_=nm_mtr,,5' 5",Actress,Arrow|Brooklyn|The Flash,Emily Rickards
392,Michelle Monaghan,https://pro.imdb.com/name/nm1157358/graph?ref_=nm_mtr,42,5' 7",Actress|Producer,Pixels|Kiss Kiss Bang Bang|Gone Baby Gone,
393,Andy Samberg,https://pro.imdb.com/name/nm1676221/graph?ref_=nm_mtr,39,5' 9½",Actor|Producer|Soundtrack,Saturday Night Live|Popstar: Never Stop Never Stopping|That's My Boy,Ardy|The Dudes|The Lonely Island
394,Nicole Kidman,https://pro.imdb.com/name/nm0000173/graph?ref_=nm_mtr,50,5' 11",Actress|Producer|Soundtrack,Moulin Rouge!|The Others|The Hours,Nic
395,Jason Statham,https://pro.imdb.com/name/nm0005458/graph?ref_=nm_mtr,50,5' 10",Actor|Producer|Stunts,Crank|Furious 7|Spy,Jay|The Stath
396,Joseph Mazzello,https://pro.imdb.com/name/nm0001515/graph?ref_=nm_mtr,34,5' 9",Actor|Director|Writer,Jurassic Park|The Social Network|The Cure,Joe Mazello|Joe Mazzello|Joe
397,Elodie Yung,https://pro.imdb.com/name/nm1392388/graph?ref_=nm_mtr,,5' 7",Actress,The Girl with the Dragon Tattoo|Daredevil|The Hitman's Bodyguard,Élodie Yung
398,Scout Taylor-Compton,https://pro.imdb.com/name/nm0174021/graph?ref_=nm_mtr,29,5' 3",Actress|Miscellaneous Crew,Halloween|Halloween II|The Runaways,Scout Taylor Compton|Pouty Scouty
399,Camila Morrone,https://pro.imdb.com/name/nm6714979/graph?ref_=nm_mtr,20,,Actress,Death Wish|Bukowski|Never Goin' Back,
400,Michael Shannon,https://pro.imdb.com/name/nm0788335/graph?ref_=nm_mtr,43,6' 3½",Actor|Soundtrack|Producer,Midnight Special|The Shape of Water|Take Shelter,Mike Shannon|Mike
401,Pablo Schreiber,https://pro.imdb.com/name/nm1032567/graph?ref_=nm_mtr,40,6' 5",Actor|Producer|Miscellaneous Crew,13 Hours|Orange Is the New Black|Den of Thieves,Pablo T. Schreiber
402,Krysten Ritter,https://pro.imdb.com/name/nm1269983/graph?ref_=nm_mtr,,5' 9",Actress|Producer|Writer,Jessica Jones|Big Eyes|Don't Trust the B---- in Apartment 23,
403,Vanessa Bayer,https://pro.imdb.com/name/nm3364779/graph?ref_=nm_mtr,36,5' 6",Actress|Writer|Soundtrack,Trainwreck|Saturday Night Live|Office Christmas Party,
404,Brandon Larracuente,https://pro.imdb.com/name/nm3837944/graph?ref_=nm_mtr,23,6' 0",Actor,13 Reasons Why|Bloodline|Bright,
405,Gemma Chan,https://pro.imdb.com/name/nm2110418/graph?ref_=nm_mtr,,5' 8",Actress,Humans|Captain Marvel|Mary Queen of Scots,
406,Rose McIver,https://pro.imdb.com/name/nm0570860/graph?ref_=nm_mtr,29,5' 4",Actress|Soundtrack|Producer,The Lovely Bones|iZombie|Petals on the Wind,Rose Mciver
407,Ethan Hawke,https://pro.imdb.com/name/nm0000160/graph?ref_=nm_mtr,47,5' 11",Actor|Writer|Director,Training Day|Before Sunrise|Before Midnight,E. Hawke
408,Anna Kendrick,https://pro.imdb.com/name/nm0447695/graph?ref_=nm_mtr,32,5' 2",Actress|Soundtrack|Music Department,Up in the Air|Pitch Perfect|Pitch Perfect 2,
409,Jacob Tremblay,https://pro.imdb.com/name/nm5016878/graph?ref_=nm_mtr,11,4' 8",Actor,Room|Wonder|Before I Wake,Jake
410,Michael Cera,https://pro.imdb.com/name/nm0148418/graph?ref_=nm_mtr,29,5' 8½",Actor|Producer|Soundtrack,Superbad|Scott Pilgrim vs. the World|Juno,Michael Céra|Mike
411,Shantel VanSanten,https://pro.imdb.com/name/nm1416900/graph?ref_=nm_mtr,,5' 8¼",Actress,Shooter|One Tree Hill|The Flash,Shantel Van Santen|Shantel Vansanten
412,Mina Sundwall,https://pro.imdb.com/name/nm3813248/graph?ref_=nm_mtr,,5' 6",Actress,Lost in Space|Maggie's Plan|#Horror,Mina De Julis
413,Renée Zellweger,https://pro.imdb.com/name/nm0000250/graph?ref_=nm_mtr,49,5' 3",Actress|Soundtrack|Producer,Chicago|Cold Mountain|Jerry Maguire,Rene Zellverger|Renee Zellweger|Renee Zellwegger
414,Rachel Brosnahan,https://pro.imdb.com/name/nm3014031/graph?ref_=nm_mtr,27,5' 3½",Actress|Producer,House of Cards|The Marvelous Mrs. Maisel|Patriots Day,
415,Mary Steenburgen,https://pro.imdb.com/name/nm0005460/graph?ref_=nm_mtr,65,5' 8",Actress|Producer|Soundtrack,Last Vegas|Step Brothers|Back to the Future Part III,Mary and Ted
416,Liam Neeson,https://pro.imdb.com/name/nm0000553/graph?ref_=nm_mtr,65,6' 4",Actor|Producer|Soundtrack,Kinsey|Schindler's List|The Grey,
417,Katee Sackhoff,https://pro.imdb.com/name/nm0755267/graph?ref_=nm_mtr,38,5' 6",Actress|Producer|Writer,Battlestar Galactica|Riddick|Oculus,Katee Sachoff
418,Abbie Cornish,https://pro.imdb.com/name/nm0180411/graph?ref_=nm_mtr,35,5' 8",Actress|Soundtrack,Three Billboards Outside Ebbing, Missouri|Candy|Seven Psychopaths,Dusk|MC Dusk
419,Vera Farmiga,https://pro.imdb.com/name/nm0267812/graph?ref_=nm_mtr,44,5' 7",Actress|Producer|Soundtrack,Up in the Air|The Departed|Orphan,
420,Keir Dullea,https://pro.imdb.com/name/nm0001158/graph?ref_=nm_mtr,82,6' 1",Actor|Soundtrack,2001: A Space Odyssey|David and Lisa|2010,
421,Ed Harris,https://pro.imdb.com/name/nm0000438/graph?ref_=nm_mtr,67,5' 9",Actor|Producer|Director,The Truman Show|Appaloosa|Apollo 13,The Voice
422,Rose Leslie,https://pro.imdb.com/name/nm3310211/graph?ref_=nm_mtr,31,5' 6",Actress,The Last Witch Hunter|Honeymoon|Game of Thrones,
423,Archie Panjabi,https://pro.imdb.com/name/nm0659544/graph?ref_=nm_mtr,,5' 3",Actress|Producer|Soundtrack,I Origins|San Andreas|A Good Year,Archie Panabi
424,Andy Garcia,https://pro.imdb.com/name/nm0000412/graph?ref_=nm_mtr,62,5' 10¼",Actor|Producer|Soundtrack,Ocean's Eleven|The Godfather: Part III|The Lost City,Andy Arthur|Andres Garcia
425,Emily Browning,https://pro.imdb.com/name/nm0115161/graph?ref_=nm_mtr,29,5' 2",Actress|Soundtrack,A Series of Unfortunate Events|Sucker Punch|Pompeii,Emily Jane Browning|Em
426,Martha Higareda,https://pro.imdb.com/name/nm1172285/graph?ref_=nm_mtr,,5' 3",Actress|Producer|Writer,Altered Carbon|No Manches Frida|McFarland, USA,
427,Juno Temple,https://pro.imdb.com/name/nm1017334/graph?ref_=nm_mtr,28,5' 2",Actress|Soundtrack,Atonement|Mr. Nobody|Maleficent,
428,Noomi Rapace,https://pro.imdb.com/name/nm0636426/graph?ref_=nm_mtr,38,5' 4¼",Actress|Producer,The Girl with the Dragon Tattoo|Prometheus|Sherlock Holmes: A Game of Shadows,Noomi Noren|Noomi Norén
