rank;name;age;height;Actor;Actress;Director;Producer;Writer;titles;aliases
440;Vin Diesel;50.0;71.75;1;0;1;1;0;Guardians of the Galaxy|The Fast and the Furious|Furious 7;Groot|Mark Vincent
441;Kirsten Dunst;36.0;66.0;0;1;1;1;0;Spider-Man|Melancholia|Interview with the Vampire: The Vampire Chronicles;Kiki
442;Vincent D'Onofrio;58.0;76.0;1;0;0;1;0;Men in Black|Full Metal Jacket|Jurassic World;Vincent Philip D'Onofrio|Vincent Phillip D'Onofrio|Vin D'Onofrio
443;Mel Gibson;62.0;69.75;1;0;1;1;0;Braveheart|Lethal Weapon 3|Ransom;
444;Justin Theroux;46.0;69.0;1;0;0;1;1;Mulholland Drive|American Psycho|The Girl on the Train;
445;Timothy Olyphant;50.0;72.0;1;0;0;1;0;Justified|A Perfect Getaway|The Crazies;Tim Olyphant|Olyphantastic
446;Scott Speedman;42.0;71.0;1;0;0;0;0;Underworld|The Strangers|Underworld: Evolution;
447;Richard Armitage;;74.5;1;0;0;0;0;The Hobbit: An Unexpected Journey|The Hobbit: The Battle of the Five Armies|The Hobbit: The Desolation of Smaug;
448;Michelle Pfeiffer;60.0;67.5;0;1;0;1;0;One Fine Day|What Lies Beneath|Dangerous Minds;Michele Pfeiffer
449;Bradley Cooper;43.0;73.0;1;0;0;1;0;Silver Linings Playbook|American Sniper|American Hustle;Coop
450;Andrew Lincoln;44.0;70.0;1;0;1;0;0;The Walking Dead|Love Actually|Teachers;Andy
451;Maggie Siff;43.0;66.0;0;1;0;1;0;Push|Leaves of Grass|The 5th Wave;
452;Daniel Brühl;39.0;69.5;1;0;0;1;0;Good Bye Lenin!|Rush|Inglourious Basterds;Daniel Bruehl|Fredrick Zoller
453;Jamie Foxx;50.0;69.0;1;0;0;1;1;Django Unchained|Ray|Collateral;Eric Bishop
454;Jared Leto;46.0;69.0;1;0;0;1;0;Dallas Buyers Club|Suicide Squad|Requiem for a Dream;Bartholomew Cubbins|30 Seconds to Mars|Thirty Seconds to Mars
455;Rob Delaney;41.0;75.0;1;0;0;1;1;Deadpool 2|Catastrophe|Burning Love;
456;Jack Kesy;;73.75;1;0;0;1;0;12 Strong|Baywatch|Death Wish;
457;George Clooney;57.0;71.0;1;0;1;1;0;Up in the Air|The Ides of March|Syriana;Gorgeous George
458;Brandon Butler;;;1;0;0;0;0;13 Reasons Why;
459;Clayne Crawford;;72.0;1;0;1;1;0;A Walk to Remember|The Baytown Outlaws|Lethal Weapon;Joey Crawford|William Westhoven
460;Samuel L. Jackson;69.0;74.5;1;0;0;1;0;Pulp Fiction|The Hateful Eight|Snakes on a Plane;Samuel Jackson|Sam Jackson|Sam
461;Dominic West;48.0;72.0;1;0;1;1;0;The Wire|Chicago|Punisher: War Zone;
462;Lochlyn Munro;;71.0;1;0;0;1;0;Riverdale|White Chicks|Unforgiven;Locklyn Munro|Rick Munro|Lochlyn Munroe
463;Pauley Perrette;;70.0;0;1;1;1;0;NCIS|Almost Famous|Superman vs. The Elite;"Pauley P.|""P"""
464;Jessica Walter;77.0;68.0;0;1;0;0;0;Arrested Development|Archer|Play Misty for Me;Ross & Jessica
465;Alison Doody;51.0;69.0;0;1;0;0;0;Indiana Jones and the Last Crusade|A View to a Kill|A Prayer for the Dying;
466;Madeline Brewer;;63.0;0;1;0;1;0;The Handmaid's Tale|Hemlock Grove|Orange Is the New Black;Maddie
467;Val Kilmer;58.0;71.75;1;0;0;1;0;The Doors|The Saint|Kiss Kiss Bang Bang;
468;Al Pacino;78.0;67.0;1;0;1;0;0;Serpico|The Godfather|Dog Day Afternoon;Sonny
469;Taylor Russell;;64.5;0;1;0;0;0;Lost in Space;Taylor Russell McKenzie|Taylor McKenzie|Russ
470;Danielle Panabaker;30.0;67.0;0;1;0;1;0;The Flash|Sky High|Friday the 13th;Grace
471;Kristen Stewart;28.0;65.0;0;1;1;0;0;Snow White and the Huntsman|The Twilight Saga: Breaking Dawn - Part 2|The Twilight Saga: Breaking Dawn - Part 1;Kris|KStew|Stew
472;Dan Stevens;35.0;72.0;1;0;0;1;0;Downton Abbey|The Guest|Beauty and the Beast;
473;Kristen Bell;37.0;61.0;0;1;0;1;0;Frozen|Veronica Mars|Forgetting Sarah Marshall;K-Bell|Annie|KB
474;Cobie Smulders;36.0;68.0;0;1;0;0;0;The Avengers|Safe Haven|Avengers: Age of Ultron;
475;Anton Yelchin;;69.0;1;0;0;0;0;Star Trek|Green Room|Like Crazy;Anton
476;Milo Ventimiglia;40.0;69.0;1;0;1;1;0;Heroes|Pathology|Killing Season;Mi
477;Alycia Debnam-Carey;;65.0;0;1;0;0;0;Into the Storm|Fear the Walking Dead|The Devil's Hand;Alycia Debnam Carey
478;Matilda Anna Ingrid Lutz;;66.5;0;1;0;0;0;Rings|Summertime|L'Universale;Matilda Lutz
479;Milla Jovovich;42.0;68.0;0;1;0;0;0;The Fifth Element|Resident Evil: Afterlife|The Fourth Kind;Milla|Milla Yovovich
480;River Phoenix;;70.0;1;0;0;0;0;My Own Private Idaho|Stand by Me|The Mosquito Coast;River|Rio|Riv
481;Karen Allen;66.0;65.0;0;1;1;0;0;Raiders of the Lost Ark|Indiana Jones and the Kingdom of the Crystal Skull|Starman;
482;Sean Young;58.0;68.0;0;1;1;0;0;Blade Runner|No Way Out|Ace Ventura: Pet Detective;
483;Jennifer Morrison;39.0;65.5;0;1;1;1;0;House|Once Upon a Time|Star Trek;Jenny Morrison|Jen|J-mo
484;Skeet Ulrich;48.0;72.0;1;0;1;1;0;Scream|The Craft|Into the West;Chester|Skeeter|Mosquito
485;Winona Ryder;46.0;63.5;0;1;0;1;0;Little Women|Girl, Interrupted|Alien: Resurrection;Wynona Ryder|Noni
486;Taylor Kitsch;37.0;71.5;1;0;1;0;1;X-Men Origins: Wolverine|Battleship|John Carter;
487;Elisabeth Harnois;39.0;64.75;0;1;0;0;0;Keith|Ten Inch Hero|Adventures in Wonderland;Elizabeth Harnois
488;Léa Seydoux;32.0;66.0;0;1;0;0;0;Blue Is the Warmest Color|Spectre|The Grand Budapest Hotel;
489;Allison Miller;;62.0;0;1;0;0;0;17 Again|Incorporated|Terra Nova;
490;Johnny Knoxville;47.0;73.0;1;0;0;1;1;Bad Grandpa|The Dukes of Hazzard|The Ringer;P.J. Clapp|PJ Clapp|Phillip John
491;Tom Welling;41.0;75.0;1;0;1;1;0;Smallville|Cheaper by the Dozen|Draft Day;T. Welling
492;Alanna Ubach;42.0;63.0;0;1;0;1;0;Girlfriends' Guide to Divorce|Meet the Fockers|Waiting...;Alana Ubach
493;Dove Cameron;;62.0;0;1;0;0;0;Descendants|Hairspray Live!|Agents of S.H.I.E.L.D.;Dovelin|Dovey|Chlo
494;Lucy Punch;40.0;68.0;0;1;0;0;0;Into the Woods|Bad Teacher|Ella Enchanted;
495;Jessica Biel;36.0;67.0;0;1;0;1;0;The Illusionist|Next|The Texas Chainsaw Massacre;Jesse
496;Chyler Leigh;36.0;66.75;0;1;0;1;0;Not Another Teen Movie|Brake|Grey's Anatomy;
497;Aaron Taylor-Johnson;27.0;71.0;1;0;0;0;1;Kick-Ass|Nocturnal Animals|Nowhere Boy;Aaron Johnson
498;Jennifer Love Hewitt;39.0;62.0;0;1;0;1;0;I Know What You Did Last Summer|The Tuxedo|Heartbreakers;Jennifer 'Love' Hewitt|Jennifer Hewitt|Love Hewitt
499;Lily Collins;29.0;65.0;0;1;0;0;0;The Mortal Instruments: City of Bones|Love, Rosie|Mirror Mirror;
500;Hart Denton;;;1;0;0;0;0;Riverdale|Lethal Weapon|Fun Mom Dinner;
501;John Travolta;64.0;74.0;1;0;0;1;0;Battlefield Earth|Face/Off|Pulp Fiction;
502;Charlyne Yi;32.0;63.0;0;1;0;0;1;This Is 40|Knocked Up|Cloverfield;
503;Sarah Rafferty;45.0;69.0;0;1;0;1;0;Suits|Tremors|Samantha Who?;
504;Catherine Corcoran;26.0;66.0;0;1;0;1;0;Return to Nuke 'Em High Volume 1|Chuck|Terrifier;
505;Jimmi Simpson;;71.5;1;0;0;0;0;Date Night;Jim-ster
506;Pete Davidson;24.0;75.0;1;0;0;1;0;Trainwreck|School Dance|Saturday Night Live;
507;Karl Urban;45.0;73.0;1;0;0;0;0;Star Trek|The Lord of the Rings: The Two Towers|The Lord of the Rings: The Return of the King;
508;Bryce Cass;;63.0;1;0;0;0;0;The Guardian|Battle Los Angeles|Line of Duty;
509;Tricia Helfer;44.0;70.5;0;1;0;1;0;Battlestar Galactica|Burn Notice|Dark Blue;
510;Emily VanCamp;32.0;68.0;0;1;0;0;0;Revenge|Brothers & Sisters|Captain America: Civil War;Emily Van Camp|Emily Vancamp
511;Harvey Weinstein;66.0;72.0;1;0;0;1;1;Shakespeare in Love|The Lord of the Rings: The Fellowship of the Ring|The Great Debaters;Harvey|Harvey Scissorhands|The Punisher.
512;Mary-Louise Parker;53.0;67.5;0;1;0;0;0;Weeds|RED|Angels in America;Mary Louise Parker|Moore and Parker
513;Denis Villeneuve;50.0;71.75;0;0;1;0;1;Blade Runner 2049|Arrival|Incendies;
514;Meryl Streep;68.0;66.0;0;1;0;1;0;Out of Africa|The Devil Wears Prada|August: Osage County;
515;Joaquin Phoenix;43.0;68.25;1;0;0;1;0;Walk the Line|Her|Gladiator;Leaf Phoenix|Kitten|Joaq
516;Julia Roberts;50.0;68.0;0;1;0;1;0;Pretty Woman|Erin Brockovich|My Best Friend's Wedding;Jules
517;Leslie Uggams;75.0;66.0;0;1;0;0;0;Deadpool|Deadpool 2|Roots;
518;Christina Ricci;38.0;61.0;0;1;0;1;0;Casper|Addams Family Values|Buffalo '66;Squant
519;Rosario Dawson;39.0;67.0;0;1;0;1;0;Rent|Seven Pounds|Eagle Eye;Rosario
520;Toby Kebbell;35.0;74.0;1;0;0;0;0;Dawn of the Planet of the Apes|Dead Man's Shoes|Fantastic Four;
521;Lacey Chabert;35.0;62.0;0;1;0;1;0;Mean Girls|Lost in Space|Not Another Teen Movie;Lacy Chabert|Esmeralda Belle Jané
522;Tao Okamoto;33.0;69.75;0;1;0;0;0;The Wolverine|Batman v Superman: Dawn of Justice|Hannibal;
523;David Tennant;47.0;73.0;1;0;1;0;0;Doctor Who|Jessica Jones|Fright Night;
524;Abigail Breslin;22.0;61.0;0;1;0;0;0;Little Miss Sunshine|August: Osage County|Definitely, Maybe;Abbie
525;Kevin Costner;63.0;73.0;1;0;0;1;0;The Postman|Robin Hood: Prince of Thieves|Dances with Wolves;
526;Lucy Liu;49.0;63.0;0;1;1;1;0;Kill Bill: Vol. 1|Charlie's Angels|Chicago;Lucy Alexis Liu|Lucy Lui
527;Connie Nielsen;52.0;70.5;0;1;0;0;0;Gladiator|One Hour Photo|Basic;Connie Inge-Lise Nielsen|Connie Nielson
528;Doug Jones;58.0;75.5;1;0;0;1;0;Hellboy II: The Golden Army|The Shape of Water|Pan's Labyrinth;Doug A. Jones|Dougie
529;Katherine Waterston;;71.5;0;1;0;1;0;Inherent Vice|Fantastic Beasts and Where to Find Them|Alien: Covenant;
530;Rashida Jones;42.0;64.0;0;1;0;1;0;Parks and Recreation|Celeste & Jesse Forever|The Social Network;Rash or Rashi
531;Katie Cassidy;;67.5;0;1;0;0;0;A Nightmare on Elm Street|Click|Arrow;Bug|K
532;Elsa Pataky;41.0;63.5;0;1;0;1;0;Fast & Furious 6|Fast Five|Snakes on a Plane;Elsa Pataki
533;Kyle Chandler;52.0;73.0;1;0;1;1;0;Argo|Super 8|Friday Night Lights;
534;Carrie Coon;;65.0;0;1;0;1;0;Gone Girl|The Post|Avengers: Infinity War;
535;Chelsea Peretti;40.0;66.0;0;1;0;0;1;Parks and Recreation|Brooklyn Nine-Nine|Game Night;
536;Megalyn Echikunwoke;;66.5;0;1;0;1;0;House of Lies|24|That '70s Show;Megalyn E.K.|Magalyn Echikunwoke|Megalyn E.K.
537;Sterling K. Brown;;72.0;1;0;0;0;0;This Is Us|American Crime Story|Army Wives;Sterling Brown
538;Amanda Schull;;65.0;0;1;0;0;0;12 Monkeys|Suits|Pretty Little Liars;Amanda Schul
539;Patrick J. Adams;36.0;72.0;1;0;1;1;0;Suits|Old School|6 Month Rule;Patrick J Adams|Patrick Adams
540;Catherine Keener;59.0;68.0;0;1;0;1;0;Capote|Being John Malkovich|The 40-Year-Old Virgin;
541;Rosa Salazar;32.0;64.0;0;1;1;0;1;Maze Runner: The Scorch Trials|Maze Runner: The Death Cure|Alita: Battle Angel;Rosa Bianca Salazar
542;Ellen Page;31.0;61.0;0;1;0;1;0;Juno|Inception|Hard Candy;Ellen Philpotts Page|Ellen Philpotts-Page|The Tiny Canadian
543;Kaitlyn Dever;21.0;63.0;0;1;0;0;0;Detroit|Short Term 12|Justified;
544;Aimee Garcia;;62.0;0;1;0;1;0;Dexter|RoboCop|Trauma;Amy Garcia
545;Laura Prepon;38.0;70.0;0;1;1;0;0;Orange Is the New Black|That '70s Show|Karla;Luara Prepon|Pre|Snaps
546;Armie Hammer;31.0;77.0;1;0;0;0;0;The Social Network|Call Me by Your Name|The Lone Ranger;Arnie Hammer
547;Lance Henriksen;78.0;70.5;1;0;0;0;0;Aliens|Hard Target|The Terminator;Lance Hendrickson|Lance Henricksen
548;Ben Barnes;36.0;72.0;1;0;0;0;0;The Chronicles of Narnia: Prince Caspian|The Big Wedding|The Chronicles of Narnia: The Voyage of the Dawn Treader;Hyrise
549;Eliza Taylor;28.0;65.0;0;1;0;0;0;The 100|Neighbours|The November Man;Eliza Cotter|Elizer Taylor|Eliza Taylor-Cotter
550;Jenny Slate;36.0;64.0;0;1;0;0;1;Zootopia|Obvious Child|The Secret Life of Pets;
551;Raquel Welch;77.0;66.0;0;1;0;1;0;The Three Musketeers|The Last of Sheila|Hannie Caulder;Racquel Welch|Miss Fairest of the Fair|Miss La Jolla
552;Marisol Nichols;;64.0;0;1;0;1;0;Riverdale|NCIS|Felon;
553;Scott Eastwood;;71.0;1;0;0;1;0;Suicide Squad|The Fate of the Furious|The Longest Ride;Scott Reeves
554;Jane Krakowski;49.0;64.5;0;1;0;0;0;30 Rock|Ally McBeal|National Lampoon's Vacation;
555;Elizabeth Perkins;57.0;68.0;0;1;0;0;0;Weeds|Miracle on 34th Street|Big;
556;Rodrigo Santoro;42.0;74.5;1;0;0;1;0;300|The 33|Love Actually;
557;Haley Joel Osment;;66.0;1;0;0;1;0;The Sixth Sense|A.I. Artificial Intelligence|Pay It Forward;Haley Osment|HJO
558;Jon Bernthal;41.0;71.0;1;0;0;0;0;The Wolf of Wall Street|Baby Driver|Fury;
559;Genesis Rodriguez;30.0;65.0;0;1;0;0;0;Man on a Ledge|Big Hero 6|Hours;Génesis Rodríguez
560;Laura Harrier;28.0;69.5;0;1;0;0;0;Spider-Man: Homecoming|The Last Five Years|4th Man Out;
561;Josh Hutcherson;25.0;67.0;1;0;0;1;0;The Hunger Games|The Hunger Games: Catching Fire|The Hunger Games: Mockingjay - Part 2;JHutch|Hutch
562;Zoë Kravitz;29.0;61.0;0;1;0;0;0;Mad Max: Fury Road|X-Men: First Class|Divergent;Zoe Kravitz|Zoë Isabella Kravitz
563;Uma Thurman;48.0;71.0;0;1;0;0;1;Kill Bill: Vol. 1|Kill Bill: Vol. 2|Pulp Fiction;U
564;Hugo Weaving;58.0;74.0;1;0;0;1;0;The Lord of the Rings: The Return of the King|V for Vendetta|The Lord of the Rings: The Fellowship of the Ring;
565;Haley Bennett;30.0;68.0;0;1;0;1;0;The Magnificent Seven|The Girl on the Train|Music and Lyrics;Halo|Hales
566;Jacinda Barrett;;70.0;0;1;0;0;0;Poseidon|Ladder 49|The Last Kiss;
567;Zulay Henao;39.0;65.0;0;1;0;0;0;Boy Wonder|Fighting|Takers;
568;Robin Williams;;67.0;1;0;0;0;1;Mrs. Doubtfire|Good Morning, Vietnam|Good Will Hunting;Marty Fromage|Sudy Nim|Robin
569;Anna Paquin;35.0;64.0;0;1;0;1;0;The Piano|X-Men|X-Men 2;
570;Jaimie Alexander;34.0;69.0;0;1;0;0;0;Thor|Thor: The Dark World|The Last Stand;Jamie Alexander|James
571;Kelly Reilly;40.0;66.0;0;1;0;1;0;Flight|Pride & Prejudice|Eden Lake;Keilly Reilly
572;Kylie Bunbury;29.0;68.0;0;1;0;0;0;Pitch|Game Night|Under the Dome;
573;Ben Whishaw;37.0;69.0;1;0;0;0;0;Perfume: The Story of a Murderer|Cloud Atlas|The Lobster;Ben Wishaw
574;Eiza González;28.0;68.25;0;1;0;0;0;Baby Driver|Alita: Battle Angel;Eiza Gonzalez
575;Samantha Mathis;48.0;65.0;0;1;0;0;0;American Psycho|Super Mario Bros.|The Punisher;Sammy
576;Holly Taylor;20.0;63.0;0;1;0;1;0;The Americans|The Witch Files|Worst Friends;
577;Derek Luke;44.0;71.0;1;0;0;0;0;Antwone Fisher|Glory Road|Captain America: The First Avenger;
578;Allison Williams;30.0;65.75;0;1;0;0;1;Girls|Peter Pan Live!|Get Out;
579;Shohreh Aghdashloo;66.0;65.0;0;1;0;1;0;House of Sand and Fog|Star Trek: Beyond|The Stoning of Soraya M.;Shoreh Aghdashloo|Shohreh|Shohreh Vaziri
580;Neve Campbell;;65.5;0;1;0;1;0;Scream 2|Scream|Scream 3;Chole
581;Katherine Heigl;39.0;69.0;0;1;0;1;0;One for the Money|Knocked Up|The Ugly Truth;Katherine M. Heigl|Katie
582;Blake Jenner;25.0;73.0;1;0;0;1;0;The Edge of Seventeen|Everybody Wants Some!!|Glee;
583;Kaley Cuoco;32.0;66.0;0;1;0;1;0;The Big Bang Theory|The Wedding Ringer|8 Simple Rules;Kaley Cuoco-Sweeting
584;Sam Rockwell;49.0;68.0;1;0;0;1;0;Moon|Three Billboards Outside Ebbing, Missouri|Seven Psychopaths;
585;Jennifer Carpenter;38.0;68.5;0;1;0;1;0;Dexter|The Exorcism of Emily Rose|Quarantine;
586;Sophia Bush;35.0;64.0;0;1;1;1;0;John Tucker Must Die|The Hitcher|One Tree Hill;Soph|Sophie
587;Eleanor Tomlinson;26.0;67.5;0;1;0;0;0;Jack the Giant Slayer|The Illusionist|Poldark;
588;Paz de la Huerta;33.0;68.0;0;1;0;0;0;Enter the Void|A Walk to Remember|The Cider House Rules;Paz De La Huerta
589;Robin Wright;52.0;66.0;0;1;1;1;0;Forrest Gump|Beowulf|Unbreakable;Robin Wright Penn|Robin Wright-Penn
590;Ben Feldman;;68.0;1;0;1;0;1;Friday the 13th|The Perfect Man|As Above, So Below;
591;Willow Shields;18.0;63.0;0;1;0;0;0;The Hunger Games|The Hunger Games: Catching Fire|The Hunger Games: Mockingjay - Part 2;
592;Q'orianka Kilcher;28.0;63.5;0;1;0;1;0;The New World|Sons of Anarchy|The Alienist;Q'Orianka|Q
593;Stephanie Allynne;31.0;;0;1;0;1;1;In a World...|One Mississippi|Twin Peaks;Stephanie Allyne|Stephanie Allynne Notaro
594;Lizzy Caplan;35.0;64.0;0;1;0;1;0;Cloverfield|Mean Girls|Hot Tub Time Machine;
595;Daniel Kaluuya;29.0;68.5;1;0;0;0;1;Get Out|Black Panther|Sicario;
596;Gina Rodriguez;33.0;63.5;0;1;0;1;0;Deepwater Horizon|Jane the Virgin|Annihilation;Cutz
597;Elizabeth Gillies;24.0;67.0;0;1;0;0;0;Victorious|Sex & Drugs & Rock & Roll|Vacation;Liz Gillies|Liz
598;Rooney Mara;33.0;63.0;0;1;0;0;0;The Girl with the Dragon Tattoo|Carol|The Social Network;Bree Daniel|Patricia Mara|Tricia Mara
599;Penélope Cruz;44.0;66.0;0;1;0;1;0;Vicky Cristina Barcelona|Vanilla Sky|Pirates of the Caribbean: On Stranger Tides;Penelope Cruz|Penelope Cruz Sanchez|Penelope Cruz Sánchez
600;Gustaf Skarsgård;37.0;75.0;1;0;1;0;1;Patrik, Age 1.5|Kon-Tiki|The Invisible;Gustav Skarsgård
601;Cameron Diaz;45.0;68.5;0;1;0;1;0;There's Something About Mary|Charlie's Angels|Vanilla Sky;Cameron Díaz|Cami
602;Martin Scorsese;75.0;64.0;1;0;1;1;0;Taxi Driver|Goodfellas|Mean Streets;Martin Scorcese|Marty Scorsese|Marty
603;Emma Roberts;27.0;62.0;0;1;0;1;0;We're the Millers|Aquamarine|Nerve;Emma Rose Roberts|Em
604;Sandra Oh;46.0;65.0;0;1;0;1;0;Grey's Anatomy|Sideways|Under the Tuscan Sun;
605;Gabrielle Union;45.0;67.5;0;1;0;1;0;Bring It On|Bad Boys II|10 Things I Hate About You;Gabrielle M. Union
606;Oscar Isaac;39.0;68.5;1;0;0;1;0;Ex Machina|Inside Llewyn Davis|A Most Violent Year;Oscar Isaac Hernandez|Óscar Isaac
607;Inbar Lavi;;63.0;0;1;0;0;0;Imposters|The Last Witch Hunter|Getting That Girl;
608;Courteney Cox;53.0;65.0;0;1;1;1;0;Friends|Scream|Scream 3;Courteney Cox Arquette|Courtney Cox Arquette|Courteney
609;Chelsea Field;;69.0;0;1;0;0;0;Masters of the Universe|Commando|The Last Boy Scout;Chelsea Fields
610;Sophia Lillis;16.0;60.0;0;1;0;0;0;It|Sharp Objects|The Garden;
611;Kenneth Branagh;57.0;69.5;1;0;1;1;0;Henry V|Hamlet|Much Ado About Nothing;Ken Branagh|Sir Kenneth Branagh|Ken
612;Nathan Fillion;47.0;73.5;1;0;0;1;0;Castle|Firefly|Serenity;
613;Diane Keaton;72.0;66.5;0;1;1;1;0;Annie Hall|Something's Gotta Give|The Family Stone;Annie
614;Frankie Adams;;72.0;0;1;0;0;0;The Expanse|Mortal Engines|Wentworth Prison;
615;Kat Dennings;31.0;64.5;0;1;0;1;0;Nick and Norah's Infinite Playlist|Thor|Thor: The Dark World;
616;Kate Winslet;42.0;66.5;0;1;0;0;0;Titanic|Eternal Sunshine of the Spotless Mind|Revolutionary Road;English Rose|Corset Kate
617;Famke Janssen;53.0;71.5;0;1;1;0;1;X-Men: The Last Stand|GoldenEye|X-Men;
618;Sarah Wright;34.0;69.0;0;1;0;0;0;American Made|Walk of Shame|The House Bunny;Sarah Mason|Sarah Wright Olsen
619;Jaime Pressly;40.0;65.0;0;1;0;1;0;My Name Is Earl|Not Another Teen Movie|I Love You, Man;Jamie Pressly
620;Jean-Claude Van Damme;57.0;69.75;1;0;0;1;1;Double Team|Double Impact|Bloodsport;Jean-Claude|Jean Claude Van Damme|Jean-Claude Van Varenbergh
621;Will Ferrell;50.0;75.0;1;0;0;1;0;Talladega Nights: The Ballad of Ricky Bobby|Anchorman 2: The Legend Continues|Anchorman: The Legend of Ron Burgundy;Phil Weston|Will|Wilf
622;Steve Zahn;50.0;67.5;1;0;0;0;0;War for the Planet of the Apes|Sahara|A Perfect Getaway;
623;Carroll Baker;87.0;65.0;0;1;0;0;0;Baby Doll|Giant|Kindergarten Cop;Carrol Baker
624;Rachel Bilson;36.0;62.0;0;1;0;0;0;Jumper|The O.C.|The Last Kiss;
625;Ann Dowd;62.0;;0;1;0;0;0;Compliance|Garden State|The Handmaid's Tale;
626;Sondra Locke;74.0;64.0;0;1;1;0;0;Bronco Billy|Sudden Impact|Every Which Way But Loose;Sondra Anderson|Bo & Sondra|Bob & Sondra
627;Mark Ruffalo;50.0;68.0;1;0;1;1;0;The Avengers|Spotlight|Foxcatcher;
628;Norman Reedus;49.0;70.0;1;0;0;1;0;The Walking Dead|The Boondock Saints|Blade II;Norman Reedis
629;Mark Strong;;74.0;1;0;0;0;0;Kingsman: The Golden Circle;
630;Dominic Cooper;40.0;69.5;1;0;0;0;0;The Devil's Double|Captain America: The First Avenger|My Week with Marilyn;
631;Marc Warren;51.0;68.5;1;0;0;0;0;Wanted|Green Street Hooligans|Band of Brothers;Mark Warren
632;Lynn Collins;41.0;68.25;0;1;0;0;0;X-Men Origins: Wolverine|John Carter|The Merchant of Venice;
633;Candice Bergen;72.0;67.5;0;1;0;1;0;Murphy Brown|Miss Congeniality|Bride Wars;Candy Bergen|Olga Mallsnerd|Candy
634;Sam Elliott;73.0;74.0;1;0;0;1;1;The Big Lebowski|We Were Soldiers|Road House;
635;January Jones;40.0;66.0;0;1;0;0;0;X-Men: First Class|Unknown|Mad Men;
636;Heather Graham;48.0;68.0;0;1;0;1;0;Austin Powers: The Spy Who Shagged Me|Boogie Nights|Bowfinger;
637;Matthew Lewis;28.0;72.25;1;0;0;0;0;Harry Potter and the Deathly Hallows: Part 2|Me Before You|Harry Potter and the Goblet of Fire;Matt Lewis|Matt
638;Aidan Turner;34.0;71.0;1;0;0;0;0;The Hobbit: The Desolation of Smaug|The Mortal Instruments: City of Bones|The Hobbit: An Unexpected Journey;
639;Claire Danes;39.0;65.5;0;1;0;1;0;My So-Called Life|Homeland|Romeo + Juliet;
640;James Spader;58.0;70.0;1;0;0;1;0;The Blacklist|Boston Legal|Sex, Lies, and Videotape;Jimmy Spader|Jimmy
641;Amy Hargreaves;;62.5;0;1;0;0;0;Blue Ruin|Homeland|13 Reasons Why;Amy Selmes
642;Viggo Mortensen;59.0;71.0;1;0;0;1;0;The Lord of the Rings: The Return of the King|Captain Fantastic|Eastern Promises;Vig|Guido|Cuervo
643;Chelsea Alden;;;0;1;1;1;0;13 Reasons Why|The Tale|American Horror Story;
644;Katie McGrath;34.0;65.5;0;1;0;0;0;Jurassic World|King Arthur: Legend of the Sword|Merlin;
645;Kate Capshaw;64.0;67.0;0;1;0;1;0;Indiana Jones and the Temple of Doom|Black Rain|Dreamscape;
646;Jonathan Rhys Meyers;40.0;69.75;1;0;0;1;0;Match Point|The Tudors|The Mortal Instruments: City of Bones;Jonathan Rhys Myers|Jonathan Rhys-Meyers|Jonathan Rhys-Myer
647;Tina Majorino;33.0;65.0;0;1;0;0;0;Napoleon Dynamite|Waterworld|Veronica Mars;
648;Lyndsy Fonseca;31.0;65.0;0;1;0;0;0;Kick-Ass|Kick-Ass 2|The Ward;
649;Annabel Scholey;;64.5;0;1;0;0;0;NOW: In the Wings on a World Stage|Walking on Sunshine;
650;Amanda Crew;;69.5;0;1;0;0;1;The Haunting in Connecticut|Final Destination 3|The Age of Adaline;
651;Matthew Rhys;43.0;71.0;1;0;1;0;1;The Post|Burnt|The Americans;Matthew Rhys Evans
652;Pamela Anderson;50.0;66.75;0;1;1;1;0;Barb Wire|Scary Movie 3|Scooby-Doo;Pamela Denise Anderson|Pam Anderson|Pamela Anderson Lee
653;Rumer Willis;29.0;66.0;0;1;0;0;0;Wild Cherry|Sorority Row|Hostage;Willa Glen|Rue
654;Dichen Lachman;;67.5;0;1;0;1;0;Lust for Love|Last Resort|Dollhouse;Deach
655;Tye Sheridan;21.0;67.5;1;0;0;1;1;Mud|Ready Player One|X-Men: Apocalypse;
656;Matthias Schoenaerts;40.0;73.5;1;0;1;1;0;Rust and Bone|The Danish Girl|Bullhead;Zenith|Matti
657;Odette Annable;33.0;68.5;0;1;0;0;0;Cloverfield|The Unborn|The Double;Odette Yustman|Odie
658;Freddie Highmore;26.0;70.0;1;0;0;1;1;Finding Neverland|Charlie and the Chocolate Factory|Bates Motel;
659;Glenn Quinn;;70.0;1;0;0;0;0;Angel|Roseanne|Shout;
660;Sharon Horgan;47.0;68.0;0;1;0;1;1;Pulling|Imagine Me & You|Catastrophe;
661;Ralph Fiennes;55.0;71.0;1;0;1;0;0;The Grand Budapest Hotel|The Constant Gardener|Schindler's List;Mr. Ralph Fiennes
662;Meg Ryan;56.0;68.0;0;1;0;1;0;When Harry Met Sally...|You've Got Mail|Sleepless in Seattle;
663;Jack Nicholson;81.0;69.75;1;0;0;1;0;Chinatown|As Good as It Gets|One Flew Over the Cuckoo's Nest;Mulholland Man|Nick
664;Fairuza Balk;44.0;63.0;0;1;0;0;0;The Craft|Almost Famous|American History X;Ms. Fairuza Balk|Ru
