rank;name;age;height;Actor;Actress;Director;Producer;Writer;titles;aliases
172;Isla Fisher;42.0;63.0;0;1;0;1;0;Wedding Crashers|Confessions of a Shopaholic|Rise of the Guardians;Ayala Fisher
173;Joel Courtney;22.0;73.25;1;0;0;0;0;Super 8|F*&% the Prom|The Messengers;Joel Dabney Courtney
174;John Wayne;;76.0;1;0;0;1;0;True Grit|The Man Who Shot Liberty Valance|The Alamo;Michael Morris|Duke Morrison|Marion Michael Morrison
175;Clint Walker;;78.0;1;0;0;0;0;The Dirty Dozen|Small Soldiers|Send Me No Flowers;
176;Alison Brie;35.0;63.0;0;1;0;1;0;The Lego Movie|Community|Sleeping with Other People;
177;Quentin Tarantino;55.0;73.0;1;0;0;1;1;Reservoir Dogs|Pulp Fiction|The Hateful Eight;Q|Quentin Tarrantino|QT
178;Dave Bautista;49.0;76.0;1;0;0;1;0;Guardians of the Galaxy|Avengers: Infinity War|Guardians of the Galaxy Vol. 2;Dave Batista|Deacon Batista|Batista
179;Emmy Rossum;31.0;68.0;0;1;1;0;0;The Phantom of the Opera|The Day After Tomorrow|Shameless;Em|Emmy Grey
180;Katheryn Winnick;;66.0;0;1;0;0;0;Vikings|50 First Dates|Killers;
181;Travis Fimmel;38.0;72.25;1;0;0;1;1;Warcraft: The Beginning|Vikings|The Baytown Outlaws;Rangi
182;Warwick Davis;48.0;42.0;1;0;0;1;1;Willow|The Hitchhiker's Guide to the Galaxy|Harry Potter and the Deathly Hallows: Part 2;Warwick Davies
183;Annabelle Wallis;;67.0;0;1;0;0;0;The Mummy|Annabelle|X-Men: First Class;Annabella Wallace|Annabelle Wallace|Annabele Wallis
184;Asia Kate Dillon;33.0;67.0;1;0;0;0;0;Orange Is the New Black|Billions|Opus for All;Asia Dillon
185;Jennifer Aniston;49.0;64.75;0;1;0;1;0;Friends|Cake|We're the Millers;Jennifer Joanna Aniston|Jennifer Aniston Arquette|Jennifer Aniston Pitt
186;Zachary Levi;37.0;76.0;1;0;0;1;0;Chuck|Tangled|Thor: The Dark World;Zac
187;Diane Lane;53.0;67.0;0;1;0;0;0;Unfaithful|Under the Tuscan Sun|Inside Out;Diane Brolin
188;Elisabeth Shue;54.0;62.0;0;1;0;1;0;Leaving Las Vegas|Adventures in Babysitting|The Saint;Lisa Shue|Lisa
189;Lauren Cohan;36.0;67.0;0;1;0;0;0;The Boy|Batman v Superman: Dawn of Justice|Casanova;
190;Jake Gyllenhaal;37.0;72.25;1;0;0;1;0;Nightcrawler|Brokeback Mountain|Prisoners;Jacob Gyllenhaal|Jake Gyllenhall
191;Alice Eve;36.0;65.5;0;1;1;1;0;Before We Go|She's Out of My League|Star Trek: Into Darkness;
192;Henry Cavill;35.0;73.0;1;0;0;0;0;Man of Steel|Batman v Superman: Dawn of Justice|The Man from U.N.C.L.E.;Hank|Henners|Most Dashing Duke
193;Jason Bateman;49.0;71.0;1;0;1;1;0;Arrested Development|Bad Words|Zootopia;
